solvent,polymer,K_value,a_value,source_paper,table_name
tetrahydrofuran,poly(vinyl acetate),0.035,0.63,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl acetate),0.00942,0.737,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl acetate),0.0051,0.791,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl acetate),0.016,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl acetate),0.0149,0.698,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(vinyl acetate),0.0156,0.708,List of Mark-Houwink Parameters BOOK APPENDIX,table3
"1,2,4-trichlorobenzene",poly(vinyl acetate),0.0137,0.687,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.0093,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.0128,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.00958,0.695,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.00787,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.0148,0.677,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.0122,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table3
chloroform,poly(methyl methacrylate),0.0147,0.714,List of Mark-Houwink Parameters BOOK APPENDIX,table3
chloroform,poly(methyl methacrylate),0.0043,0.8,List of Mark-Houwink Parameters BOOK APPENDIX,table3
acetone,poly(methyl methacrylate),0.0366,0.578,List of Mark-Houwink Parameters BOOK APPENDIX,table3
2-butanone,poly(methyl methacrylate),0.0071,0.72,List of Mark-Houwink Parameters BOOK APPENDIX,table3
benzene,poly(methyl methacrylate),0.0055,0.76,List of Mark-Houwink Parameters BOOK APPENDIX,table3
benzene,poly(methyl methacrylate),0.0438,0.597,List of Mark-Houwink Parameters BOOK APPENDIX,table3
benzene,poly(methyl methacrylate),0.0052,0.76,List of Mark-Houwink Parameters BOOK APPENDIX,table3
toluene,poly(methyl methacrylate),0.0191,0.68,List of Mark-Houwink Parameters BOOK APPENDIX,table3
toluene,poly(methyl methacrylate),0.0208,0.64,List of Mark-Houwink Parameters BOOK APPENDIX,table3
cyclohexanone,poly(methyl methacrylate),0.0366,0.603,List of Mark-Houwink Parameters BOOK APPENDIX,table3
"N,N-dimethylformamide",poly(methyl methacrylate),0.00404,0.787,List of Mark-Houwink Parameters BOOK APPENDIX,table3
"N,N-dimethylformamide",poly(methyl methacrylate),0.025,0.625,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrafluoroethylene,poly(methyl methacrylate),0.00281,0.88,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.01665,0.66,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.0169,0.659,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.01719,0.658,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.00984,0.692,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.009577,0.695,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(methyl methacrylate),0.008892,0.694,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(ethyl methacrylate),0.01549,0.679,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(ethyl methacrylate),0.0225,0.66,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(butyl acrylate),0.00503,0.758,List of Mark-Houwink Parameters BOOK APPENDIX,table3
2-butanone,poly(butyl acrylate),0.00613,0.7258,List of Mark-Houwink Parameters BOOK APPENDIX,table3
2-butanone,poly(butyl acrylate),0.0097,0.68,List of Mark-Houwink Parameters BOOK APPENDIX,table3
tetrahydrofuran,poly(oxymethylene adipate),0.05556,0.56,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,poly(lauryl methacrylate),0.0073,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,prostate-specific membrane antigen,0.009,0.67,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,poly(methyl acrylate),0.00388,0.82,List of Mark-Houwink Parameters BOOK APPENDIX,table4
toluene,poly(methyl acrylate),0.021,0.6,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,poly(butyl acrylate),0.0033,0.8,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,4-dichlorobenzene",polyethylene,0.0477,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,4-dichlorobenzene",polyethylene,0.049,0.74,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,4-dichlorobenzene",polyethylene,0.0506,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.055,0.704,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0434,0.724,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0954,0.64,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.053,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,4-dichlorobenzene",polyethylene,0.0505,0.693,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0358,0.74,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0392,0.725,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0954,0.64,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0526,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0523,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.071,0.67,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0563,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0395,0.726,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0323,0.735,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.0173,0.784,List of Mark-Houwink Parameters BOOK APPENDIX,table4
decahydronaphthalene,polyethylene,0.0417,0.71,List of Mark-Houwink Parameters BOOK APPENDIX,table4
decahydronaphthalene,polyethylene,0.039,0.74,List of Mark-Houwink Parameters BOOK APPENDIX,table4
decahydronaphthalene,polyethylene,0.046,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table4
decahydronaphthalene,polyethylene,0.062,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table4
decane,polyethylene,0.0698,0.65,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polyethylene,0.027,0.746,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polypropylene,0.0137,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,2,4-trichlorobenzene",polypropylene,0.0176,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,4-dichlorobenzene",polypropylene,0.0156,0.76,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,4-dichlorobenzene",polypropylene,0.01,0.78,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,4-dichlorobenzene",polypropylene,0.0242,0.707,List of Mark-Houwink Parameters BOOK APPENDIX,table4
"1,4-dichlorobenzene",polypropylene,0.011,0.8,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,polyisobutylene,0.05,0.6,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,polyisobutylene,0.0647,0.593,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,polyisobutylene,0.0579,0.593,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,polycarbonate,0.0399,0.77,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,polycarbonate,0.049,0.67,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,polycarbonate,0.0412,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table4
toluene,polycarbonate,0.0318,0.68,List of Mark-Houwink Parameters BOOK APPENDIX,table4
toluene,phosphate buffered saline,0.0519,0.679,List of Mark-Houwink Parameters BOOK APPENDIX,table4
toluene,phosphate buffered saline,0.02888,0.753,List of Mark-Houwink Parameters BOOK APPENDIX,table4
tetrahydrofuran,"poly(1,4-butadiene)",0.01012,0.621,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,"poly(1,4-butadiene)",0.184,0.58,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,"poly(1,4-butadiene)",0.016,0.776,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,"poly(1,4-butadiene)",0.0457,0.693,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,"poly(1,4-butadiene)",0.0256,0.74,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,"poly(1,4-butadiene)",0.0396,0.697,List of Mark-Houwink Parameters BOOK APPENDIX,table5
chloroform,"poly(1,4-butadiene)",0.0451,0.704,List of Mark-Houwink Parameters BOOK APPENDIX,table5
chloroform,"poly(1,4-butadiene)",0.0578,0.67,List of Mark-Houwink Parameters BOOK APPENDIX,table5
chloroform,"poly(1,4-butadiene)",0.76,0.44,List of Mark-Houwink Parameters BOOK APPENDIX,table5
chloroform,"poly(1,4-butadiene)",0.25,2.36,List of Mark-Houwink Parameters BOOK APPENDIX,table5
chloroform,"poly(1,4-butadiene)",0.0457,0.693,List of Mark-Houwink Parameters BOOK APPENDIX,table5
chloroform,"poly(1,4-butadiene)",0.0451,0.693,List of Mark-Houwink Parameters BOOK APPENDIX,table5
chloroform,"poly(1,4-butadiene)",0.0428,0.693,List of Mark-Houwink Parameters BOOK APPENDIX,table5
chloroform,"poly(1,4-butadiene)",0.0403,0.693,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,styrene-butadiene rubber (25% styrene),0.041,0.693,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,styrene-butadiene rubber (25% styrene),0.0318,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,polyisoprene,0.0109,0.79,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,polyisoprene,0.0177,0.753,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,poly(isobutylene-co-isoprene),0.0085,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table5
"N,N-dimethylacetamide",poly(caprolactam),0.013,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table5
m-cresol,poly(caprolactam),0.32,0.62,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrafluoroethylene,poly(caprolactam),0.0458,0.742,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrafluoroethylene,poly(caprolactam),0.0536,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table5
m-cresol,poly(caprolactam),0.0353,0.79,List of Mark-Houwink Parameters BOOK APPENDIX,table5
m-cresol,poly(caprolactam),0.0401,1.0,List of Mark-Houwink Parameters BOOK APPENDIX,table5
hexafluoroisopropanol,poly(caprolactam),0.198,0.63,List of Mark-Houwink Parameters BOOK APPENDIX,table5
m-cresol,poly(hexamethylene sebacamide),0.0135,0.96,List of Mark-Houwink Parameters BOOK APPENDIX,table5
m-cresol,poly(caprolactam),0.091,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table5
m-cresol,poly(caprolactam),0.046,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table5
hexafluoroisopropanol/toluene (2:8),poly(caprolactam),0.06163,0.6585,List of Mark-Houwink Parameters BOOK APPENDIX,table5
"N,N-dimethylformamide",poly(hexamethylene adipamide),0.02737,0.706,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,poly(caprolactam),0.0166,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrahydrofuran,trifluoroacetic acid-modified nylon 12,0.0087,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table5
m-cresol,poly(ethylene terephthalate),0.00077,0.95,List of Mark-Houwink Parameters BOOK APPENDIX,table5
m-cresol,poly(ethylene terephthalate),0.0175,0.81,List of Mark-Houwink Parameters BOOK APPENDIX,table5
m-cresol,poly(ethylene terephthalate),0.02,0.9,List of Mark-Houwink Parameters BOOK APPENDIX,table5
tetrachloroethane,poly(ethylene terephthalate),0.0744,0.648,List of Mark-Houwink Parameters BOOK APPENDIX,table5
hexafluoroisopropanol,poly(lactic acid),0.052,0.695,List of Mark-Houwink Parameters BOOK APPENDIX,table6
pentafluorophenol,poly(lactic acid),0.0385,0.723,List of Mark-Houwink Parameters BOOK APPENDIX,table6
hexafluoroisopropanol / pentafluorophenol (1:1),poly(tetrahydrofuran),0.045,0.705,List of Mark-Houwink Parameters BOOK APPENDIX,table6
methylene chloride/hexafluoroisopropanol (7:3),poly(vinylidene bisphenol A carbonate),0.045,0.68,List of Mark-Houwink Parameters BOOK APPENDIX,table6
pentafluorophenol,poly(vinyl butyral),0.04034,0.691,List of Mark-Houwink Parameters BOOK APPENDIX,table6
cyclohexanone,poly(oxazolidine),0.009205,1.05,List of Mark-Houwink Parameters BOOK APPENDIX,table6
"N,N-dimethylformamide",bis(2-diphenylphosphinoethyl)phenylphosphine,0.0416,0.676,List of Mark-Houwink Parameters BOOK APPENDIX,table6
tetrahydrofuran,"poly(2,5-bis(2-octyldodecyl)-3,4-bis(2-ethylhexyl)pyrrolo[3,4-c]pyrrole-1,4(2H,5H)-dione)",0.00932,0.79,List of Mark-Houwink Parameters BOOK APPENDIX,table6
sulfuric acid,poly(ether ether ketone),0.07588,0.67,List of Mark-Houwink Parameters BOOK APPENDIX,table6
"N,N-dimethylformamide",poly(acrylonitrile),0.0325,0.725,List of Mark-Houwink Parameters BOOK APPENDIX,table7
"N,N-dimethylformamide",poly(acrylonitrile),0.0243,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table7
"N,N-dimethylformamide",poly(acrylonitrile),0.00146,0.897,List of Mark-Houwink Parameters BOOK APPENDIX,table7
"N,N-dimethylformamide",poly(acrylonitrile),0.0212,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table7
"N,N-dimethylformamide",poly(vinylpyrrolidone),0.0185,0.646,List of Mark-Houwink Parameters BOOK APPENDIX,table7
methanol/water (1:1),poly(vinylpyrrolidone),0.00851,0.72,List of Mark-Houwink Parameters BOOK APPENDIX,table7
tetrahydrofuran,poly(2-vinylpyridine),0.0223,0.66,List of Mark-Houwink Parameters BOOK APPENDIX,table7
tetrahydrofuran,poly(2-vinylpyridine),0.0302,0.61,List of Mark-Houwink Parameters BOOK APPENDIX,table7
trifluoroacetic acid and sodium nitrate,poly(2-vinylpyridine),0.00575,0.922,List of Mark-Houwink Parameters BOOK APPENDIX,table7
trifluoroacetic acid and sodium nitrate,poly(2-vinylpyridine),0.0162,0.745,List of Mark-Houwink Parameters BOOK APPENDIX,table7
trifluoroacetic acid and sodium nitrate,poly(2-vinylpyridine),0.0257,0.651,List of Mark-Houwink Parameters BOOK APPENDIX,table7
pyridine,poly(2-vinylpyridine),0.00445,0.78,List of Mark-Houwink Parameters BOOK APPENDIX,table7
N-methyl-2-pyrrolidone,poly(2-vinylpyridine),0.0088,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table7
"N,N-dimethylformamide",poly(2-vinylpyridine),0.0123,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium formate,poly(2-vinylpyridine),0.0025,0.93,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium formate,poly(2-vinylpyridine),0.005,0.83,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium formate,poly(2-vinylpyridine),0.0017,0.95,List of Mark-Houwink Parameters BOOK APPENDIX,table7
water,polyacrylamide,0.068,0.66,List of Mark-Houwink Parameters BOOK APPENDIX,table7
water,polyacrylamide,0.01,0.755,List of Mark-Houwink Parameters BOOK APPENDIX,table7
water,polyacrylamide,0.00631,0.8,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium sulfate,polyacrylamide,0.0194,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium chloride,polyacrylamide,0.0121,0.746,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium chloride,polyacrylamide,0.0184,0.72,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium chloride,sodium polyacrylate,0.0169,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table7
acetone,phenol,0.047,1.9,List of Mark-Houwink Parameters BOOK APPENDIX,table7
acetone,phenol,0.631,0.28,List of Mark-Houwink Parameters BOOK APPENDIX,table7
tetrahydrofuran,phenol,0.73,0.28,List of Mark-Houwink Parameters BOOK APPENDIX,table7
"N,N-dimethylformamide",phenol,0.18,0.51,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium hydroxide,phenol,0.166,0.48,List of Mark-Houwink Parameters BOOK APPENDIX,table7
lithium nitrate,poly(vinyl pyridine-co-dimethylaminoethyl methacrylate),0.0142,0.67,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium chloride,poly(trimethylammonium chloride) methacrylate,1.85,0.66,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium chloride,poly(trimethylammonium chloride) methacrylate,0.598,0.72,List of Mark-Houwink Parameters BOOK APPENDIX,table7
tris(hydroxymethyl)aminomethane,poly(methyl vinyl ether-co-methyl methacrylate),0.0317,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table7
sodium chloride,poly(dimethylaminoethyl methacrylate),0.035,0.62,List of Mark-Houwink Parameters BOOK APPENDIX,table7
"N,N-dimethylacetamide",polyamic acid,0.0201,0.79,List of Mark-Houwink Parameters BOOK APPENDIX,table8
water,polyethylene oxide,0.0125,0.78,List of Mark-Houwink Parameters BOOK APPENDIX,table8
water,polyethylene oxide,0.0125,0.78,List of Mark-Houwink Parameters BOOK APPENDIX,table8
lithium nitrate,polyethylene oxide,0.028,0.72,List of Mark-Houwink Parameters BOOK APPENDIX,table8
lithium nitrate,polyethylene oxide,0.0348,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium nitrate,polyethylene oxide,0.101,0.58,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium nitrate,polyethylene oxide,0.0347,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium hydroxide,polyethylene oxide,0.025,0.66,List of Mark-Houwink Parameters BOOK APPENDIX,table8
"1,4-dioxane",polyethylene oxide,0.035,0.71,List of Mark-Houwink Parameters BOOK APPENDIX,table8
"N,N-dimethylformamide",polyethylene oxide,0.024,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table8
"N,N-dimethylformamide",polyethylene oxide,0.05,0.653,List of Mark-Houwink Parameters BOOK APPENDIX,table8
"N,N-dimethylformamide",polyethylene oxide,0.055,0.643,List of Mark-Houwink Parameters BOOK APPENDIX,table8
methanol/water (1:1),polyethylene oxide,0.0221,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table8
acetonitrile/water (2:8),polyethylene oxide,0.873,0.6,List of Mark-Houwink Parameters BOOK APPENDIX,table8
acetonitrile/water (2:8),polyethylene oxide,0.0245,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table8
methanol/water (2:8),polyethylene oxide,0.034,0.75,List of Mark-Houwink Parameters BOOK APPENDIX,table8
benzene,poly(propylene glycol),0.03241,0.686,List of Mark-Houwink Parameters BOOK APPENDIX,table8
toluene,poly(propylene glycol),0.00447,0.92,List of Mark-Houwink Parameters BOOK APPENDIX,table8
"1,4-dioxane",poly(propylene glycol),0.02247,0.715,List of Mark-Houwink Parameters BOOK APPENDIX,table8
"N,N-dimethylformamide",poly(propylene glycol),0.05284,0.598,List of Mark-Houwink Parameters BOOK APPENDIX,table8
water,poly(vinyl acetate),0.14,0.6,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium nitrate,poly(vinyl acetate),0.133,0.56,List of Mark-Houwink Parameters BOOK APPENDIX,table8
tetrahydrofuran,cellulose nitrate,0.25,1.0,List of Mark-Houwink Parameters BOOK APPENDIX,table8
tetrahydrofuran,cellulose nitrate,0.82,1.0,List of Mark-Houwink Parameters BOOK APPENDIX,table8
tetrahydrofuran,cellulose nitrate,4.46,0.76,List of Mark-Houwink Parameters BOOK APPENDIX,table8
tetrahydrofuran,cellulose nitrate,0.0644,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table8
tetrahydrofuran,cellulose nitrate,0.0321,0.83,List of Mark-Houwink Parameters BOOK APPENDIX,table8
water,methyl cellulose,0.107,0.61,List of Mark-Houwink Parameters BOOK APPENDIX,table8
water,dextran,0.0978,0.5,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium chloride,dextran,0.157,0.451,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium chloride,dextran,0.136,0.47,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium nitrate,dextran,0.37,0.4,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium nitrate,dextran,0.485,0.39,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium nitrate and potassium dihydrogen phosphate,dextran,0.476,0.34,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium hydroxide,dextran,0.12,0.48,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium hydroxide,dextran,0.18,0.438,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium hydroxide,dextran,0.185,0.431,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium hydroxide,dextran,0.158,0.451,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium hydroxide,dextran,0.124,0.474,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium hydroxide,dextran,0.132,0.478,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium hydroxide,dextran,0.147,0.465,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium hydroxide,dextran,0.151,0.464,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium chloride,pullulane,1.03,0.25,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium chloride,pullulane,0.0179,0.67,List of Mark-Houwink Parameters BOOK APPENDIX,table8
sodium nitrate,pullulane,0.0422,0.64,List of Mark-Houwink Parameters BOOK APPENDIX,table8
potassium dihydrogen phosphate,pullulane,0.017,0.72,List of Mark-Houwink Parameters BOOK APPENDIX,table8
acetonitrile/water (2:8),polysaccharide,0.0372,0.59,List of Mark-Houwink Parameters BOOK APPENDIX,table9
water,polysaccharide,0.044,0.6,List of Mark-Houwink Parameters BOOK APPENDIX,table9
water,polysaccharide,0.069,0.6,List of Mark-Houwink Parameters BOOK APPENDIX,table9
water,xanthan gum,0.0267,1.1,List of Mark-Houwink Parameters BOOK APPENDIX,table9
water,xanthan gum,0.006,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium hydroxide and sodium phosphate,xylan,0.00024,0.74,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium chloride,poly(sodium 4-styrenesulfonate),0.005,0.794,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium chloride,poly(sodium 4-styrenesulfonate),0.0106,0.741,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium chloride,poly(sodium 4-styrenesulfonate),0.0209,0.8,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium chloride,poly(sodium 4-styrenesulfonate),0.0285,1.079,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium chloride,poly(sodium 4-styrenesulfonate),0.0416,0.935,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium hydroxide,poly(sodium 4-styrenesulfonate),0.024,0.805,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium hydroxide,poly(sodium 4-styrenesulfonate),0.0038,0.815,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium hydroxide,poly(sodium 4-styrenesulfonate),0.0146,0.74,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium hydroxide,poly(sodium 4-styrenesulfonate),0.0281,0.59,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium chloride,poly(sodium 4-styrenesulfonate),0.0198,0.828,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium chloride,poly(sodium 4-styrenesulfonate),0.0174,0.83,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium hydroxide,poly(sodium 4-styrenesulfonate),0.02,0.82,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium chloride,poly(sodium 4-styrenesulfonate),0.0109,1.16,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium chloride,methanethiol,0.031,1.01,List of Mark-Houwink Parameters BOOK APPENDIX,table9
sodium chloride,methanethiol,0.0549,0.74,List of Mark-Houwink Parameters BOOK APPENDIX,table9
guanidinium hydrochloride,proteins,0.0316,0.66,List of Mark-Houwink Parameters BOOK APPENDIX,table9
tetrahydrofuran,poly(vinyl chloride-co-vinyl acetate),0.0672,0.611,List of Mark-Houwink Parameters BOOK APPENDIX,table10
toluene,ethylene propylene rubber,0.03051,0.76,List of Mark-Houwink Parameters BOOK APPENDIX,table10
tetrahydrofuran,ethylene propylene rubber,0.274,0.54,List of Mark-Houwink Parameters BOOK APPENDIX,table10
"1,4-dichlorobenzene",ethylene propylene rubber,0.0242,0.707,List of Mark-Houwink Parameters BOOK APPENDIX,table10
toluene,ethylene propylene rubber,0.031,0.72,List of Mark-Houwink Parameters BOOK APPENDIX,table10
xylene,"1,2,4-trichlorobenzene",0.1,0.535,List of Mark-Houwink Parameters BOOK APPENDIX,table10
ethylbenzene,"1,2,4-trichlorobenzene",0.0493,0.589,List of Mark-Houwink Parameters BOOK APPENDIX,table10
tetrahydrofuran,"1,2,4-trichlorobenzene",0.097,0.62,List of Mark-Houwink Parameters BOOK APPENDIX,table10
tetrahydrofuran,poly(methyl methacrylate),0.00775,0.76,List of Mark-Houwink Parameters BOOK APPENDIX,table10
2-butanone,poly(methyl methacrylate),0.0115,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table10
toluene,poly(methyl methacrylate),0.0109,0.73,List of Mark-Houwink Parameters BOOK APPENDIX,table10
"1,2,4-trichlorobenzene",poly(methyl methacrylate),0.0108,0.7,List of Mark-Houwink Parameters BOOK APPENDIX,table10
tetrahydrofuran,poly(methyl methacrylate),0.00641,0.76,List of Mark-Houwink Parameters BOOK APPENDIX,table10
2-butanone,poly(methyl methacrylate),0.01466,0.67,List of Mark-Houwink Parameters BOOK APPENDIX,table10
toluene,poly(methyl methacrylate),0.01318,0.69,List of Mark-Houwink Parameters BOOK APPENDIX,table10
